Cell,Louvain_Stage,Annotation
cell_797,12,CardioPahayngeal progenitor
cell_798,0,Visceral Endoderm
cell_799,0,Visceral Endoderm
cell_800,4,Primitive Streak
cell_801,0,Visceral Endoderm
cell_803,7,Extraembryonic mesoderm
cell_804,3,ant Epiblast
cell_805,5,post Primitive Streak; early Extra embryonic mesoderm
cell_806,7,Extraembryonic mesoderm
cell_807,13,Primitive Streak
cell_808,4,Primitive Streak
cell_809,3,ant Epiblast
cell_810,1,Trophectoderm
cell_811,8,Hemogenic
cell_813,4,Primitive Streak
cell_814,7,Extraembryonic mesoderm
cell_815,9,Definitive Endoderm
cell_816,5,post Primitive Streak; early Extra embryonic mesoderm
cell_818,10,Caudal Epiblast
cell_819,0,Visceral Endoderm
cell_820,6,Visceral Endoderm
cell_821,8,Hemogenic
cell_822,0,Visceral Endoderm
cell_823,7,Extraembryonic mesoderm
cell_824,1,Trophectoderm
cell_825,7,Extraembryonic mesoderm
cell_828,0,Visceral Endoderm
cell_829,0,Visceral Endoderm
cell_830,1,Trophectoderm
cell_832,4,Primitive Streak
cell_833,5,post Primitive Streak; early Extra embryonic mesoderm
cell_834,11,* Visceral Endoderm
cell_835,0,Visceral Endoderm
cell_836,3,ant Epiblast
cell_837,5,post Primitive Streak; early Extra embryonic mesoderm
cell_838,6,Visceral Endoderm
cell_839,0,Visceral Endoderm
cell_840,3,ant Epiblast
cell_841,5,post Primitive Streak; early Extra embryonic mesoderm
cell_842,9,Definitive Endoderm
cell_843,0,Visceral Endoderm
cell_844,11,* Visceral Endoderm
cell_845,7,Extraembryonic mesoderm
cell_846,8,Hemogenic
cell_847,2,ant Neuroectoderm
cell_848,2,ant Neuroectoderm
cell_849,4,Primitive Streak
cell_853,11,* Visceral Endoderm
cell_854,2,ant Neuroectoderm
cell_855,7,Extraembryonic mesoderm
cell_856,4,Primitive Streak
cell_857,0,Visceral Endoderm
cell_858,3,ant Epiblast
cell_859,7,Extraembryonic mesoderm
cell_860,2,ant Neuroectoderm
cell_861,7,Extraembryonic mesoderm
cell_862,4,Primitive Streak
cell_863,0,Visceral Endoderm
cell_868,0,Visceral Endoderm
cell_869,13,Primitive Streak
cell_870,9,Definitive Endoderm
cell_871,0,Visceral Endoderm
cell_873,9,Definitive Endoderm
cell_874,0,Visceral Endoderm
cell_875,1,Trophectoderm
cell_876,8,Hemogenic
cell_877,1,Trophectoderm
cell_878,12,CardioPahayngeal progenitor
cell_879,3,ant Epiblast
cell_880,2,ant Neuroectoderm
cell_882,1,Trophectoderm
cell_884,1,Trophectoderm
cell_886,5,post Primitive Streak; early Extra embryonic mesoderm
cell_887,5,post Primitive Streak; early Extra embryonic mesoderm
cell_888,12,CardioPahayngeal progenitor
cell_889,0,Visceral Endoderm
cell_890,8,Hemogenic
cell_891,3,ant Epiblast
cell_892,5,post Primitive Streak; early Extra embryonic mesoderm
cell_894,4,Primitive Streak
cell_895,0,Visceral Endoderm
cell_896,8,Hemogenic
cell_897,6,Visceral Endoderm
cell_898,0,Visceral Endoderm
cell_900,0,Visceral Endoderm
cell_901,5,post Primitive Streak; early Extra embryonic mesoderm
cell_902,4,Primitive Streak
cell_903,3,ant Epiblast
cell_905,11,* Visceral Endoderm
cell_907,2,ant Neuroectoderm
cell_908,0,Visceral Endoderm
cell_909,7,Extraembryonic mesoderm
cell_910,2,ant Neuroectoderm
cell_911,11,* Visceral Endoderm
cell_912,6,Visceral Endoderm
cell_913,9,Definitive Endoderm
cell_914,3,ant Epiblast
cell_915,0,Visceral Endoderm
cell_916,0,Visceral Endoderm
cell_917,1,Trophectoderm
cell_918,3,ant Epiblast
cell_919,5,post Primitive Streak; early Extra embryonic mesoderm
cell_920,5,post Primitive Streak; early Extra embryonic mesoderm
cell_921,4,Primitive Streak
cell_924,4,Primitive Streak
cell_925,12,CardioPahayngeal progenitor
cell_926,2,ant Neuroectoderm
cell_928,3,ant Epiblast
cell_930,7,Extraembryonic mesoderm
cell_931,6,Visceral Endoderm
cell_932,7,Extraembryonic mesoderm
cell_933,3,ant Epiblast
cell_934,3,ant Epiblast
cell_936,0,Visceral Endoderm
cell_937,0,Visceral Endoderm
cell_938,6,Visceral Endoderm
cell_939,7,Extraembryonic mesoderm
cell_940,9,Definitive Endoderm
cell_941,11,* Visceral Endoderm
cell_942,0,Visceral Endoderm
cell_944,8,Hemogenic
cell_945,1,Trophectoderm
cell_946,5,post Primitive Streak; early Extra embryonic mesoderm
cell_947,4,Primitive Streak
cell_948,10,Caudal Epiblast
cell_949,3,ant Epiblast
cell_951,2,ant Neuroectoderm
cell_952,10,Caudal Epiblast
cell_953,6,Visceral Endoderm
cell_954,11,* Visceral Endoderm
cell_955,4,Primitive Streak
cell_956,11,* Visceral Endoderm
cell_957,1,Trophectoderm
cell_958,7,Extraembryonic mesoderm
cell_959,4,Primitive Streak
cell_960,5,post Primitive Streak; early Extra embryonic mesoderm
