Cell,Louvain_Stage,Annotation_Stage
cell_1681,2,
cell_1682,1,
cell_1683,3,
cell_1684,2,
cell_1686,2,
cell_1687,6,
cell_1688,2,
cell_1690,6,
cell_1691,3,
cell_1692,3,
cell_1693,3,
cell_1694,2,
cell_1695,1,
cell_1696,1,
cell_1697,2,
cell_1698,5,
cell_1699,2,
cell_1700,6,
cell_1701,3,
cell_1702,3,
cell_1703,3,
cell_1705,1,
cell_1706,1,
cell_1708,3,
cell_1709,0,
cell_1710,3,
cell_1711,2,
cell_1712,0,
cell_1713,2,
cell_1714,1,
cell_1716,3,
cell_1717,5,
cell_1718,3,
cell_1719,2,
cell_1720,1,
cell_1722,6,
cell_1723,0,
cell_1724,2,
cell_1725,6,
cell_1726,1,
cell_1727,3,
cell_1728,4,
cell_1729,0,
cell_1730,0,
cell_1731,3,
cell_1732,3,
cell_1733,3,
cell_1734,3,
cell_1735,6,
cell_1736,3,
cell_1737,3,
cell_1738,3,
cell_1739,0,
cell_1740,2,
cell_1741,2,
cell_1742,0,
cell_1743,1,
cell_1744,2,
cell_1745,6,
cell_1746,1,
cell_1747,3,
cell_1748,1,
cell_1750,1,
cell_1751,0,
cell_1752,5,
cell_1753,5,
cell_1754,6,
cell_1755,5,
cell_1756,0,
cell_1757,1,
cell_1758,2,
cell_1759,4,
cell_1760,3,
cell_1761,3,
cell_1762,0,
cell_1763,1,
cell_1764,2,
cell_1766,1,
cell_1767,1,
cell_1768,3,
cell_1770,1,
cell_1771,1,
cell_1772,5,
cell_1773,6,
cell_1774,3,
cell_1775,2,
cell_1776,3,
cell_1777,0,
cell_1778,6,
cell_1779,1,
cell_1780,0,
cell_1781,3,
cell_1782,1,
cell_1783,1,
cell_1784,1,
cell_1785,3,
cell_1787,6,
cell_1788,2,
cell_1789,1,
cell_1790,5,
cell_1791,6,
cell_1792,3,
cell_1793,6,
cell_1794,3,
cell_1795,2,
cell_1796,5,
cell_1797,6,
cell_1798,1,
cell_1799,2,
cell_1800,5,
cell_1801,6,
cell_1802,2,
cell_1803,0,
cell_1804,2,
cell_1805,2,
cell_1806,3,
cell_1808,0,
cell_1809,2,
cell_1810,3,
cell_1811,5,
cell_1812,1,
cell_1813,1,
cell_1814,6,
cell_1815,2,
cell_1817,3,
cell_1818,1,
cell_1819,1,
cell_1822,6,
cell_1823,6,
cell_1824,2,
cell_1826,0,
cell_1827,1,
cell_1828,3,
cell_1829,5,
cell_1830,6,
cell_1831,3,
cell_1832,0,
cell_1833,1,
cell_1835,1,
cell_1836,3,
cell_1837,3,
cell_1839,1,
cell_1840,2,
cell_1841,1,
cell_1842,1,
cell_1844,1,
cell_1845,1,
cell_1846,5,
cell_1847,6,
cell_1848,3,
cell_1849,5,
cell_1850,2,
cell_1851,6,
cell_1852,2,
cell_1853,2,
cell_1854,2,
cell_1855,0,
cell_1856,0,
cell_1857,3,
cell_1858,1,
cell_1859,0,
cell_1860,2,
cell_1861,1,
cell_1862,6,
cell_1863,3,
cell_1864,3,
cell_1865,1,
cell_1866,0,
cell_1867,3,
cell_1868,0,
cell_1869,6,
cell_1870,1,
cell_1871,0,
cell_1872,3,
cell_1873,3,
cell_1874,3,
cell_1875,6,
cell_1876,5,
cell_1877,3,
cell_1878,5,
cell_1879,3,
cell_1880,2,
cell_1881,3,
cell_1882,5,
cell_1883,0,
cell_1884,0,
cell_1885,1,
cell_1888,2,
cell_1889,0,
cell_1890,2,
cell_1891,5,
cell_1892,3,
cell_1893,0,
cell_1895,3,
cell_1896,0,
cell_1897,0,
cell_1898,2,
cell_1899,1,
cell_1900,6,
cell_1901,3,
cell_1902,0,
cell_1903,1,
cell_1904,0,
cell_1905,1,
cell_1906,0,
cell_1907,1,
cell_1908,2,
cell_1909,5,
cell_1910,2,
cell_1911,5,
cell_1912,2,
cell_1913,0,
cell_1915,6,
cell_1916,0,
cell_1917,3,
cell_1918,4,
cell_1919,3,
cell_1920,6,
cell_1921,0,
cell_1922,0,
cell_1923,5,
cell_1924,1,
cell_1925,3,
cell_1926,0,
cell_1927,2,
cell_1928,0,
cell_1929,2,
cell_1930,0,
cell_1931,0,
cell_1932,2,
cell_1933,1,
cell_1934,0,
cell_1935,3,
cell_1936,1,
cell_1937,1,
cell_1939,2,
cell_1940,0,
cell_1942,0,
cell_1943,0,
cell_1944,0,
cell_1945,2,
cell_1946,0,
cell_1947,2,
cell_1949,6,
cell_1950,1,
cell_1951,1,
cell_1952,0,
cell_1953,1,
cell_1954,3,
cell_1955,6,
cell_1956,3,
cell_1957,6,
cell_1958,2,
cell_1959,0,
cell_1960,3,
cell_1961,4,
cell_1963,1,
cell_1964,0,
cell_1965,1,
cell_1966,1,
cell_1967,0,
cell_1968,2,
cell_1969,0,
cell_1970,2,
cell_1971,3,
cell_1972,5,
cell_1973,2,
cell_1974,0,
cell_1975,3,
cell_1977,3,
cell_1978,2,
cell_1979,6,
cell_1980,0,
cell_1981,3,
cell_1982,2,
cell_1983,1,
cell_1985,4,
cell_1986,2,
cell_1988,3,
cell_1989,0,
cell_1990,1,
cell_1991,0,
cell_1992,6,
cell_1993,2,
cell_1994,2,
cell_1995,6,
cell_1996,0,
cell_1997,3,
cell_1998,0,
cell_1999,3,
cell_2000,3,
cell_2001,3,
cell_2002,2,
cell_2004,3,
cell_2005,4,
cell_2006,5,
cell_2007,2,
cell_2008,1,
cell_2009,3,
cell_2010,0,
cell_2011,3,
cell_2012,2,
cell_2013,0,
cell_2014,0,
cell_2015,3,
cell_2016,1,
cell_2017,4,
cell_2018,3,
cell_2019,3,
cell_2020,0,
cell_2021,1,
cell_2022,3,
cell_2024,4,
cell_2025,0,
cell_2026,2,
cell_2027,2,
cell_2028,3,
cell_2029,1,
cell_2030,1,
cell_2031,3,
cell_2032,3,
cell_2033,3,
cell_2034,3,
cell_2035,0,
cell_2036,2,
cell_2037,2,
cell_2038,3,
cell_2039,2,
cell_2040,2,
cell_2041,5,
cell_2042,3,
cell_2044,2,
cell_2045,3,
cell_2046,3,
cell_2047,6,
cell_2048,1,
cell_2049,6,
cell_2050,5,
cell_2052,5,
cell_2055,2,
cell_2056,5,
cell_2057,0,
