,Stage,Sample,Louvain,DPC
1097,E7.5,3,7,5
1098,E7.5,3,7,6
1100,E7.5,3,12,4
1101,E7.5,3,2,9
1103,E7.5,3,2,2
1104,E7.5,3,0,3
1105,E7.5,3,13,2
1106,E7.5,3,11,0
1108,E7.5,3,0,3
1109,E7.5,3,3,2
1110,E7.5,3,0,3
1111,E7.5,3,9,2
1112,E7.5,3,6,10
1113,E7.5,3,7,6
1114,E7.5,3,10,2
1115,E7.5,3,5,4
1117,E7.5,3,0,3
1118,E7.5,3,5,4
1119,E7.5,3,11,3
1120,E7.5,3,8,7
1121,E7.5,3,0,3
1122,E7.5,3,0,3
1123,E7.5,3,0,3
1124,E7.5,3,7,5
1125,E7.5,3,0,3
1127,E7.5,3,12,5
1128,E7.5,3,8,7
1129,E7.5,3,7,6
1130,E7.5,3,6,10
1131,E7.5,3,0,3
1132,E7.5,3,0,3
1133,E7.5,3,0,3
1136,E7.5,3,13,2
1138,E7.5,3,12,4
1140,E7.5,3,6,10
1141,E7.5,3,5,4
1142,E7.5,3,0,3
1144,E7.5,3,11,0
1145,E7.5,3,12,5
1147,E7.5,3,7,6
1148,E7.5,3,2,9
1149,E7.5,3,2,9
1150,E7.5,3,1,10
1151,E7.5,3,3,2
1152,E7.5,3,1,10
1154,E7.5,3,1,10
1155,E7.5,3,7,6
1156,E7.5,3,1,10
1157,E7.5,3,5,4
1158,E7.5,3,4,4
1159,E7.5,3,6,10
1160,E7.5,3,4,4
1161,E7.5,3,5,4
1162,E7.5,3,12,4
1165,E7.5,3,6,10
1166,E7.5,3,8,11
1167,E7.5,3,2,2
1168,E7.5,3,0,3
1170,E7.5,3,8,7
1173,E7.5,3,7,6
1176,E7.5,4,1,10
1178,E7.5,4,0,3
1184,E7.5,4,0,3
1185,E7.5,4,2,2
1186,E7.5,4,4,4
1188,E7.5,4,0,3
1189,E7.5,4,11,3
1190,E7.5,4,0,3
1192,E7.5,4,5,5
1194,E7.5,4,3,9
1196,E7.5,4,2,9
1198,E7.5,4,3,2
1199,E7.5,4,0,3
1200,E7.5,4,13,2
1202,E7.5,4,2,2
1203,E7.5,4,11,3
1204,E7.5,4,6,10
1206,E7.5,4,7,6
1207,E7.5,4,6,10
1208,E7.5,4,9,8
1211,E7.5,4,0,3
1214,E7.5,4,1,10
1215,E7.5,4,5,5
1216,E7.5,4,2,9
1217,E7.5,4,3,2
1218,E7.5,4,0,3
1223,E7.5,4,0,3
1225,E7.5,4,0,3
1226,E7.5,4,9,8
1227,E7.5,4,0,3
1229,E7.5,4,1,10
1231,E7.5,4,0,3
1232,E7.5,4,13,2
1235,E7.5,4,11,3
1236,E7.5,4,9,8
1238,E7.5,4,1,10
1239,E7.5,4,8,11
1242,E7.5,4,7,5
1243,E7.5,4,0,3
1245,E7.5,4,9,8
1247,E7.5,4,5,4
1248,E7.5,4,0,3
1254,E7.5,4,0,3
1255,E7.5,4,0,3
1257,E7.5,4,2,2
1259,E7.5,4,4,4
1263,E7.5,4,4,2
1264,E7.5,4,5,5
1265,E7.5,4,1,10
1267,E7.5,4,1,10
1268,E7.5,4,4,4
1269,E7.5,4,0,3
1272,E7.5,4,11,3
1273,E7.5,4,7,5
1274,E7.5,4,3,2
1280,E7.5,4,1,10
1281,E7.5,4,9,8
1284,E7.5,4,0,3
1286,E7.5,4,0,3
1287,E7.5,4,11,3
1288,E7.5,4,0,3
1290,E7.5,4,1,10
1292,E7.5,4,1,10
1293,E7.5,4,0,3
1294,E7.5,4,0,3
1296,E7.5,4,0,3
1299,E7.5,4,0,3
1304,E7.5,4,7,6
1305,E7.5,4,2,9
1306,E7.5,4,6,10
1307,E7.5,4,0,3
1309,E7.5,4,11,3
1311,E7.5,4,11,0
1316,E7.5,4,2,2
1319,E7.5,4,6,10
1321,E7.5,4,0,3
1323,E7.5,4,11,0
1324,E7.5,4,6,10
1326,E7.5,4,0,3
1327,E7.5,4,1,10
1328,E7.5,4,0,3
1329,E7.5,4,7,6
1330,E7.5,4,0,3
1331,E7.5,4,1,10
1333,E7.5,4,0,3
1334,E7.5,4,11,3
1336,E7.5,4,7,5
1343,E7.5,4,0,3
1344,E7.5,4,2,2
1345,E7.5,4,0,3
1346,E7.5,4,1,10
1348,E7.5,4,1,10
1351,E7.5,4,11,0
1352,E7.5,4,11,0
1353,E7.5,4,0,3
1354,E7.5,4,11,0
1355,E7.5,4,13,2
1356,E7.5,4,4,4
1357,E7.5,4,11,0
1362,E7.5,4,8,7
1363,E7.5,4,0,3
1364,E7.5,4,7,6
1365,E7.5,4,1,10
1367,E7.5,4,3,2
1368,E7.5,4,8,7
1370,E7.5,4,0,3
1372,E7.5,4,0,3
1374,E7.5,4,1,10
1375,E7.5,4,0,3
1376,E7.5,4,11,0
1380,E7.5,4,1,10
1382,E7.5,4,2,9
1383,E7.5,4,9,8
1384,E7.5,4,2,9
1385,E7.5,4,1,10
1386,E7.5,4,9,8
1387,E7.5,4,4,4
1391,E7.5,4,2,2
1398,E7.5,4,0,3
1399,E7.5,4,0,3
1402,E7.5,4,0,3
1403,E7.5,4,0,3
1404,E7.5,4,0,3
1405,E7.5,4,11,0
1408,E7.5,4,8,11
1410,E7.5,4,0,3
1411,E7.5,4,0,3
1412,E7.5,4,0,3
1413,E7.5,4,11,0
1414,E7.5,4,13,4
1417,E7.5,4,3,2
1418,E7.5,4,11,0
1419,E7.5,4,1,10
1422,E7.5,4,0,3
1423,E7.5,4,13,2
1425,E7.5,4,0,3
1426,E7.5,4,0,3
1427,E7.5,4,0,3
1428,E7.5,4,0,3
1429,E7.5,4,4,4
1432,E7.5,4,8,7
1438,E7.5,4,0,3
1439,E7.5,4,7,6
1440,E7.5,4,8,7
1442,E7.5,4,1,10
1443,E7.5,4,2,2
1444,E7.5,4,7,6
1445,E7.5,4,7,6
1446,E7.5,4,10,2
1447,E7.5,4,0,3
1449,E7.5,4,6,10
1450,E6.5,5,2,3
1451,E6.5,5,4,2
1452,E6.5,5,3,2
1453,E6.5,5,1,2
1454,E6.5,5,2,3
1455,E6.5,5,0,2
1456,E6.5,5,2,3
